date,Coronavirus disease 2019,COVID-19 vaccine,Side effect,Mental health,Housing,Economy,Unemployment,Mask,Social distancing,Economic impact of the COVID-19 pandemic,Social anxiety disorder
2020-01-12,0,0,41,83,89,49,5,7,0,0,80
2020-01-19,4,1,42,84,90,49,6,9,0,0,84
2020-01-26,11,1,40,85,88,54,5,16,0,4,89
2020-02-02,6,1,40,85,87,57,5,12,0,0,84
2020-02-09,5,1,43,86,86,57,5,10,0,0,76
2020-02-16,4,1,42,90,91,52,5,9,0,0,92
2020-02-23,14,3,42,93,91,61,5,31,0,8,72
2020-03-01,29,3,40,87,88,54,4,21,1,0,79
2020-03-08,68,6,37,77,80,63,5,21,22,24,69
2020-03-15,100,9,37,67,74,73,39,36,96,100,40
2020-03-22,83,5,37,67,72,77,72,49,82,82,52
2020-03-29,72,5,34,70,72,72,100,99,100,79,46
2020-04-05,69,4,35,70,73,68,93,100,68,69,49
2020-04-12,53,4,33,73,72,100,88,69,65,70,58
2020-04-19,43,3,33,73,71,86,84,61,44,55,63
2020-04-26,30,3,32,81,76,81,79,59,49,67,67
2020-05-03,28,3,32,80,73,73,67,54,45,64,60
2020-05-10,25,3,33,78,75,64,63,48,35,53,79
2020-05-17,22,4,37,74,74,56,63,46,38,54,61
2020-05-24,20,3,33,70,73,48,61,42,35,28,59
2020-05-31,15,2,33,73,76,42,54,31,23,23,59
2020-06-07,16,2,36,73,84,40,50,30,20,27,58
2020-06-14,18,3,37,77,85,36,49,40,18,20,81
2020-06-21,23,3,41,71,83,34,51,54,18,24,68
2020-06-28,26,4,41,71,84,31,53,60,20,29,64
2020-07-05,25,4,42,74,88,35,52,57,16,42,66
2020-07-12,27,5,39,74,93,33,50,65,18,50,68
2020-07-19,22,5,36,82,89,34,53,57,17,34,63
2020-07-26,21,4,37,79,100,33,51,49,16,17,70
2020-08-02,20,4,35,74,88,32,49,40,15,4,61
2020-08-09,16,5,36,76,89,33,49,40,15,38,76
2020-08-16,14,3,35,76,87,39,43,35,16,34,81
2020-08-23,13,3,34,76,81,46,42,32,14,12,74
2020-08-30,13,4,42,86,74,55,43,29,12,44,72
2020-09-06,11,3,38,86,69,59,43,27,10,43,77
2020-09-13,11,3,38,92,70,63,41,28,11,23,94
2020-09-20,11,3,42,93,73,65,36,28,12,32,86
2020-09-27,14,2,42,87,72,63,33,27,10,29,66
2020-10-04,15,2,47,100,73,60,32,27,9,52,84
2020-10-11,13,3,42,88,74,50,33,27,8,23,62
2020-10-18,14,3,46,82,76,54,31,27,7,33,63
2020-10-25,15,3,41,85,76,51,27,29,8,19,59
2020-11-01,12,2,33,67,57,45,21,17,5,23,53
2020-11-08,20,8,43,83,71,48,27,24,6,13,72
2020-11-15,24,8,47,83,72,48,27,26,6,37,71
2020-11-22,19,7,44,66,54,30,24,23,5,24,72
2020-11-29,19,11,48,80,72,43,29,21,6,18,56
2020-12-06,20,19,57,79,67,44,29,21,5,18,62
2020-12-13,19,30,64,72,67,43,29,20,6,33,62
2020-12-20,19,23,53,50,53,28,34,17,5,10,56
2020-12-27,20,28,55,58,63,31,42,18,4,9,68
2021-01-03,19,39,61,72,73,40,45,19,3,13,66
2021-01-10,20,65,63,74,74,50,40,20,4,18,78
2021-01-17,19,64,65,75,73,51,42,22,4,22,92
2021-01-24,18,66,65,83,79,53,39,25,4,18,77
2021-01-31,17,63,67,83,76,44,38,21,4,18,66
2021-02-07,16,68,67,83,76,46,32,21,4,18,79
2021-02-14,14,60,60,84,78,40,33,17,3,9,72
2021-02-21,15,66,67,86,85,50,31,18,3,18,79
2021-02-28,17,86,74,86,87,49,31,23,4,23,88
2021-03-07,19,100,80,84,82,59,33,20,3,18,77
2021-03-14,16,88,79,82,82,58,33,16,6,13,78
2021-03-21,16,84,80,86,80,51,33,17,5,9,67
2021-03-28,17,90,88,73,85,46,30,17,3,5,68
2021-04-04,19,82,100,81,82,46,28,17,4,9,69
2021-04-11,14,56,98,87,85,47,28,16,4,14,86
2021-04-18,12,45,86,87,86,46,27,17,3,5,84
2021-04-25,13,54,79,91,86,48,27,21,4,14,86
2021-05-02,11,39,75,100,85,44,28,16,3,23,84
2021-05-09,11,41,72,94,85,44,29,34,3,14,80
2021-05-16,10,36,68,95,88,42,28,29,3,9,71
2021-05-23,8,30,60,80,85,33,25,19,2,19,84
2021-05-30,7,23,55,78,81,30,25,16,2,10,92
2021-06-06,7,23,56,81,85,29,25,15,1,5,83
2021-06-13,7,22,52,78,85,27,25,17,2,38,86
2021-06-20,6,21,53,77,84,25,22,13,2,5,71
2021-06-27,6,18,52,76,88,24,24,14,1,0,64
2021-07-04,6,19,49,73,88,23,24,12,1,10,84
2021-07-11,8,20,52,78,87,25,23,14,1,19,66
2021-07-18,11,28,55,77,88,23,20,17,1,19,60
2021-07-25,13,35,56,88,93,24,20,32,2,14,65
2021-08-01,19,64,58,76,90,21,20,30,2,9,69
2021-08-08,18,41,62,74,93,22,21,30,2,5,69
2021-08-15,18,38,61,80,89,28,19,29,2,5,73
2021-08-22,18,37,63,79,90,30,18,25,2,15,89
2021-08-29,18,49,57,84,85,35,19,21,3,10,92
2021-09-05,15,28,54,80,79,35,19,19,2,10,92
2021-09-12,13,28,55,92,83,40,15,17,2,15,100
2021-09-19,11,23,53,92,83,40,12,16,2,10,69
2021-09-26,10,22,55,94,88,42,10,16,1,19,76
2021-10-03,8,16,46,78,72,33,8,14,1,19,53
2021-10-10,7,14,45,86,69,31,7,15,1,7,63
2021-10-17,7,14,45,77,68,32,6,15,1,7,56
2021-10-24,7,14,48,76,65,33,6,16,1,7,66
2021-10-31,7,18,49,76,71,31,6,13,1,7,69
2021-11-07,7,17,51,77,71,32,6,11,1,17,67
2021-11-14,8,16,49,76,69,32,6,11,1,3,62
2021-11-21,8,13,41,56,55,20,5,10,0,14,46
2021-11-28,9,15,47,80,69,29,6,11,1,3,56
2021-12-05,8,14,47,75,70,31,6,11,1,20,55
2021-12-12,11,14,48,66,62,29,6,14,1,0,55
2021-12-19,18,17,44,51,51,15,5,14,1,0,42
2021-12-26,24,16,45,50,58,15,6,17,2,0,51
2022-01-02,24,17,45,67,71,21,7,21,2,7,55
