Trends in Number of COVID-19 Vaccinations in the US
Date generated: Sat Jan 08 2022 20:25:31 GMT-0800 (Pacific Standard Time)
Date Type,Date,Location,Total Doses Administered Daily,Daily Count People Receiving Dose 1,Total Doses Administered Cumulative,People Receiving 1 or More Doses Cumulative,7-Day Avg Daily Count Dose 1,7-Day Avg Total Doses Daily,Total Doses Administered Daily Change,7-Day Avg Total Doses Administered Daily Change,Daily Count of People Fully Vaccinated,People Fully Vaccinated Cumulative,7-Day Avg Daily Count of People Fully Vaccinated,Daily Count People Receiving a Booster Dose,People Receiving a Booster Dose Cumulative,7-Day Average Daily Count Booster
Admin,2020-12-14,US,4419,4280,29406,25378,12689,14703,N/A,N/A,99,4625,2312,0,0,0
Admin,2020-12-15,US,49162,46934,78568,72312,24104,26189,N/A,N/A,230,4855,1618,0,0,0
Admin,2020-12-16,US,159427,153950,237995,226262,56566,59498,N/A,N/A,435,5290,1322,0,0,0
Admin,2020-12-17,US,271684,264549,509679,490811,98162,101935,N/A,N/A,700,5990,1198,0,0,0
Admin,2020-12-18,US,414574,405618,924253,896429,149405,154042,N/A,N/A,1203,7193,1198,0,0,0
Admin,2020-12-19,US,181651,177613,1105904,1074042,153435,157986,N/A,N/A,1024,8217,1173,0,0,0
Admin,2020-12-20,US,104865,102858,1210769,1176900,165115,169397,N/A,N/A,746,8963,633,0,0,0
Admin,2020-12-21,US,381871,375121,1592640,1552021,218092,223319,N/A,N/A,1377,10340,816,0,0,0
Admin,2020-12-22,US,449054,440262,2041694,1992283,274282,280446,N/A,N/A,2671,13011,1165,0,0,0
Admin,2020-12-23,US,574479,561899,2616173,2554182,332560,339739,N/A,N/A,2672,15683,1484,0,0,0
Admin,2020-12-24,US,196297,191095,2812470,2745277,322067,328970,N/A,N/A,1115,16798,1544,0,0,0
Admin,2020-12-25,US,12651,12508,2825121,2757785,265908,271552,N/A,N/A,93,16891,1385,0,0,0
Admin,2020-12-26,US,141848,138152,2966969,2895937,260271,265866,N/A,N/A,762,17653,1348,0,0,0
Admin,2020-12-27,US,96598,93352,3063567,2989289,258913,264685,N/A,N/A,710,18363,1342,0,0,0
Admin,2020-12-28,US,588401,574773,3651968,3564062,287434,294189,N/A,N/A,3700,22063,1674,0,0,0
Admin,2020-12-29,US,718671,700657,4370639,4264719,324634,332706,N/A,N/A,4737,26800,1969,0,0,0
Admin,2020-12-30,US,839862,821396,5210501,5086115,361705,370618,N/A,N/A,6711,33511,2546,0,0,0
Admin,2020-12-31,US,418155,408664,5628656,5494779,392786,402312,N/A,N/A,2997,36508,2815,0,0,0
Admin,2021-01-01,US,91091,83516,5719747,5578295,402930,413518,N/A,N/A,5909,42417,3646,0,0,0
Admin,2021-01-02,US,262870,253783,5982617,5832078,419449,430806,N/A,N/A,2768,45185,3933,0,0,0
Admin,2021-01-03,US,137450,130247,6120067,5962325,424719,436642,N/A,N/A,2399,47584,4174,0,0,0
Admin,2021-01-04,US,654168,595098,6774235,6557423,427623,446038,N/A,N/A,45383,92967,10129,0,0,0
Admin,2021-01-05,US,826534,725616,7600769,7283039,431189,461447,N/A,N/A,87761,180728,21989,0,0,0
Admin,2021-01-06,US,1016974,827152,8617743,8110191,432011,486748,N/A,N/A,171669,352397,45555,0,0,0
Admin,2021-01-07,US,1165949,863913,9783692,8974104,497046,593576,N/A,N/A,278658,631055,84935,0,0,0
Admin,2021-01-08,US,1233373,845692,11017065,9819796,605929,756759,N/A,N/A,360604,991659,135606,0,0,0
Admin,2021-01-09,US,508326,369963,11525391,10189759,622526,791824,N/A,N/A,128117,1119776,153513,0,0,0
Admin,2021-01-10,US,249880,175606,11775271,10365365,629006,807886,N/A,N/A,68749,1188525,162991,0,0,0
Admin,2021-01-11,US,1068440,722766,12843711,11088131,647244,867068,N/A,N/A,321079,1509604,202376,0,0,0
Admin,2021-01-12,US,1257064,916242,14100775,12004373,674476,928572,N/A,N/A,313585,1823189,234637,0,0,0
Admin,2021-01-13,US,1319863,1027646,15420638,13032019,703118,971842,N/A,N/A,269261,2092450,248579,0,0,0
Admin,2021-01-14,US,1311351,1153741,16731989,14185760,744522,992613,N/A,N/A,134863,2227313,228036,0,0,0
