Data Table for Daily Case Trends - The United States
Date generated: Sat Jan 08 2022 21:42:19 GMT-0800 (Pacific Standard Time)
State,Date,New Cases,7-Day Moving Avg,Historic Cases
United States,Jan  7 2022,831304,668497,0
United States,Jan  6 2022,791734,614552,0
United States,Jan  5 2022,705351,586265,0
United States,Jan  4 2022,718499,554704,133
United States,Jan  3 2022,954009,509324,0
United States,Jan  2 2022,404644,443159,1
United States,Jan  1 2022,273940,414915,0
United States,Dec 31 2021,453693,392150,0
United States,Dec 30 2021,593725,360566,0
United States,Dec 29 2021,484424,315973,0
United States,Dec 28 2021,400839,281828,0
United States,Dec 27 2021,490848,254175,0
United States,Dec 26 2021,206942,223879,0
United States,Dec 25 2021,114579,208531,0
United States,Dec 24 2021,232607,204025,0
United States,Dec 23 2021,281576,193805,621
United States,Dec 22 2021,245407,176505,0
United States,Dec 21 2021,207267,162391,0
United States,Dec 20 2021,278776,150659,0
United States,Dec 19 2021,99506,138410,0
United States,Dec 18 2021,83039,132060,0
United States,Dec 17 2021,161070,128772,0
United States,Dec 16 2021,160471,124842,1347
United States,Dec 15 2021,146613,121699,840
United States,Dec 14 2021,125144,119379,1725
United States,Dec 13 2021,193028,119539,0
United States,Dec 12 2021,55055,119294,0
United States,Dec 11 2021,60027,118864,0
United States,Dec 10 2021,133559,119040,0
United States,Dec  9 2021,138469,121556,0
United States,Dec  8 2021,130374,122255,0
United States,Dec  7 2021,126264,122680,0
United States,Dec  6 2021,191313,121861,0
United States,Dec  5 2021,52045,108735,0
United States,Dec  4 2021,61257,108976,0
United States,Dec  3 2021,151170,107303,0
United States,Dec  2 2021,143362,97327,0
United States,Dec  1 2021,133352,86966,0
United States,Nov 30 2021,120533,83002,165
United States,Nov 29 2021,99427,80208,171
United States,Nov 28 2021,53733,88055,92
United States,Nov 27 2021,49547,85314,51
United States,Nov 26 2021,81337,83873,19
United States,Nov 25 2021,70838,88500,76
United States,Nov 24 2021,105600,94598,245
United States,Nov 23 2021,100975,94700,126
United States,Nov 22 2021,154359,94134,50
United States,Nov 21 2021,34543,92497,490
United States,Nov 20 2021,39461,91697,81
United States,Nov 19 2021,113730,92909,100
United States,Nov 18 2021,113524,94263,10684
United States,Nov 17 2021,106314,88257,55
United States,Nov 16 2021,97012,86023,59
United States,Nov 15 2021,142895,84066,9
United States,Nov 14 2021,28948,81859,61
United States,Nov 13 2021,47943,81491,15371
United States,Nov 12 2021,123205,78750,145
United States,Nov 11 2021,71484,73876,590
United States,Nov 10 2021,90679,76323,1792
United States,Nov  9 2021,83310,74796,177
United States,Nov  8 2021,127450,73342,49
United States,Nov  7 2021,26371,72221,66
United States,Nov  6 2021,28756,71430,528
United States,Nov  5 2021,89088,71454,186
United States,Nov  4 2021,88611,71196,219
United States,Nov  3 2021,79988,70247,108
United States,Nov  2 2021,73134,70809,685
United States,Nov  1 2021,119604,74998,7959
United States,Oct 31 2021,20830,71327,64
United States,Oct 30 2021,28925,71761,569
United States,Oct 29 2021,87285,71940,137
United States,Oct 28 2021,81964,71058,21885
United States,Oct 27 2021,83926,71824,457
United States,Oct 26 2021,102457,70751,262
United States,Oct 25 2021,93907,67693,47
United States,Oct 24 2021,23869,64355,94
